 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.41,0.27,0.58,0.46,0.57,0.55,0.62,0.31,0.45,0.44,0.62,0.67,0.64,0.42,0.42,0.22,0.34,DST_114_M_NUT.csv
0.88,0.99,0.27,0.99,0.56,0.13,0.26,0.61,0.74,0.73,0.77,0.89,0.93,0.63,0.9,0.66,0.22,DST_048_M_FER.csv
0.89,0.84,0.68,0.53,0.44,0.19,0.26,0.33,0.59,0.57,0.54,0.67,0.59,0.47,0.49,0.41,0.58,DST_015_M_NUT.csv
0.85,0.97,0.37,0.98,0.26,0.46,0.31,0.42,0.43,0.13,0.45,0.44,0.31,0.54,0.72,0.69,0.44,DST_177_F_SUR.csv
0.69,0.45,0.89,0.45,0.55,0.71,0.41,0.46,0.52,0.53,0.77,0.91,0.7,0.65,0.31,0.41,0.31,DST_118_M_ANG.csv
0.21,0.19,0.71,0.56,0.71,0.98,0.96,0.53,0.33,0.32,0.53,0.77,0.21,0.63,0.24,0.14,0.39,DST_135_F_DIS.csv
0.5,0.58,0.41,0.38,0.59,0.36,0.73,0.62,0.54,0.73,0.7,0.78,0.68,0.55,0.44,0.42,0.45,DST_013_M_NUT.csv
0.2,0.15,0.79,0.17,0.93,0.98,0.98,0.94,0.7,0.68,0.51,0.93,0.52,0.62,0.4,0.6,0.24,DST_119_M_DIS.csv
0.28,0.32,0.83,0.6,0.76,0.98,0.97,0.5,0.28,0.23,0.49,0.74,0.35,0.68,0.3,0.17,0.34,DST_145_F_DIS.csv
0.92,0.98,0.31,0.99,0.45,0.06,0.18,0.41,0.63,0.71,0.7,0.73,0.82,0.52,0.44,0.54,0.14,DST_018_M_FER.csv
0.71,0.44,0.87,0.33,0.57,0.85,0.41,0.51,0.33,0.35,0.68,0.73,0.81,0.5,0.73,0.74,0.68,DST_124_F_SAD.csv
0.76,0.54,0.86,0.46,0.75,0.94,0.71,0.71,0.67,0.89,0.32,0.93,0.64,0.83,0.44,0.51,0.4,DST_163_F_ANG.csv
0.76,0.38,0.89,0.54,0.6,0.85,0.46,0.46,0.45,0.67,0.87,0.96,0.84,0.6,0.25,0.65,0.48,DST_136_F_SAD.csv
0.48,0.57,0.31,0.61,0.91,0.74,0.46,0.92,0.94,0.81,0.43,0.8,0.59,0.73,0.56,0.39,0.23,DST_047_M_HPY.csv
0.61,0.43,0.74,0.41,0.8,0.72,0.4,0.66,0.9,0.78,0.81,0.87,0.73,0.58,0.34,0.27,0.32,DST_064_M_SAD.csv
0.81,0.95,0.35,0.98,0.19,0.45,0.46,0.23,0.28,0.21,0.44,0.3,0.27,0.46,0.66,0.68,0.3,DST_135_F_SUR.csv
0.59,0.39,0.55,0.55,0.53,0.56,0.53,0.64,0.6,0.47,0.76,0.51,0.8,0.31,0.58,0.45,0.4,DST_002_F_NUT.csv
0.34,0.41,0.45,0.72,0.82,0.47,0.56,0.65,0.84,0.82,0.67,0.88,0.78,0.67,0.68,0.62,0.23,DST_108_M_ANG.csv
0.72,0.27,0.74,0.42,0.45,0.82,0.29,0.27,0.34,0.36,0.84,0.77,0.9,0.52,0.39,0.28,0.5,DST_171_F_SAD.csv
0.54,0.54,0.28,0.68,0.8,0.46,0.45,0.65,0.93,0.94,0.18,0.38,0.62,0.54,0.42,0.32,0.16,DST_032_F_HPY.csv
0.56,0.54,0.25,0.32,0.95,0.91,0.51,0.88,0.97,0.96,0.39,0.75,0.57,0.63,0.71,0.4,0.37,DST_026_M_HPY.csv
0.54,0.61,0.39,0.69,0.76,0.25,0.5,0.71,0.94,0.91,0.25,0.45,0.68,0.54,0.51,0.31,0.46,DST_159_F_HPY.csv
0.47,0.42,0.66,0.26,0.77,0.97,0.95,0.64,0.38,0.42,0.62,0.81,0.44,0.63,0.47,0.37,0.52,DST_183_F_DIS.csv
0.66,0.81,0.67,0.86,0.62,0.34,0.76,0.49,0.49,0.67,0.36,0.82,0.35,0.57,0.51,0.2,0.34,DST_163_F_NUT.csv
0.78,0.91,0.51,0.99,0.27,0.42,0.46,0.39,0.28,0.09,0.47,0.66,0.25,0.43,0.91,0.89,0.29,DST_026_M_SUR.csv
0.5,0.35,0.95,0.69,0.63,0.87,0.57,0.4,0.4,0.62,0.72,0.94,0.51,0.67,0.16,0.54,0.19,DST_114_M_ANG.csv
0.29,0.37,0.35,0.47,0.86,0.94,0.59,0.65,0.94,0.89,0.39,0.45,0.69,0.65,0.62,0.59,0.56,DST_185_F_HPY.csv
0.56,0.67,0.18,0.65,0.41,0.28,0.19,0.41,0.68,0.78,0.24,0.6,0.59,0.58,0.45,0.34,0.48,DST_162_F_NUT.csv
0.58,0.55,0.98,0.47,0.79,0.83,0.72,0.74,0.57,0.64,0.86,0.96,0.83,0.72,0.44,0.76,0.41,DST_020_M_SAD.csv
0.51,0.68,0.13,0.79,0.82,0.79,0.75,0.79,0.92,0.76,0.44,0.61,0.82,0.64,0.54,0.5,0.41,DST_042_F_HPY.csv
0.95,0.99,0.4,0.93,0.56,0.42,0.47,0.51,0.66,0.64,0.82,0.76,0.87,0.63,0.58,0.46,0.4,DST_020_M_FER.csv
0.22,0.25,0.84,0.24,0.92,0.98,0.98,0.76,0.5,0.82,0.78,0.7,0.66,0.75,0.34,0.16,0.54,DST_129_F_DIS.csv
0.4,0.58,0.86,0.75,0.64,0.78,0.62,0.75,0.44,0.78,0.61,0.92,0.71,0.73,0.23,0.78,0.28,DST_031_M_ANG.csv
0.51,0.5,0.59,0.33,0.61,0.58,0.71,0.74,0.28,0.47,0.86,0.92,0.71,0.45,0.48,0.57,0.34,DST_026_M_SAD.csv
0.39,0.55,0.42,0.41,0.94,0.76,0.69,0.81,0.92,0.9,0.54,0.44,0.82,0.7,0.53,0.38,0.66,DST_129_F_HPY.csv
0.88,0.98,0.33,0.99,0.28,0.17,0.41,0.33,0.58,0.13,0.29,0.46,0.24,0.63,0.9,0.89,0.37,DST_040_F_SUR.csv
0.63,0.72,0.77,0.23,0.91,0.81,0.97,0.95,0.71,0.94,0.76,0.94,0.79,0.54,0.48,0.44,0.41,DST_016_M_DIS.csv
0.3,0.46,0.86,0.28,0.95,0.98,0.97,0.83,0.66,0.55,0.7,0.96,0.23,0.76,0.26,0.16,0.27,DST_086_M_DIS.csv
0.37,0.31,0.46,0.4,0.61,0.44,0.54,0.22,0.52,0.44,0.84,0.7,0.86,0.6,0.49,0.5,0.39,DST_074_M_NUT.csv
0.63,0.38,0.9,0.26,0.62,0.87,0.58,0.52,0.52,0.59,0.92,0.92,0.52,0.51,0.35,0.66,0.45,DST_096_M_SAD.csv
0.43,0.37,0.38,0.58,0.94,0.88,0.73,0.65,0.94,0.65,0.45,0.54,0.39,0.49,0.42,0.07,0.27,DST_029_F_HPY.csv
0.92,0.96,0.33,1.0,0.44,0.82,0.38,0.27,0.4,0.35,0.65,0.61,0.76,0.48,0.47,0.8,0.2,DST_051_M_SUR.csv
0.92,0.98,0.34,0.99,0.26,0.25,0.17,0.1,0.39,0.51,0.47,0.59,0.71,0.53,0.43,0.53,0.29,DST_157_F_FER.csv
0.88,0.98,0.38,0.99,0.19,0.18,0.33,0.47,0.31,0.04,0.37,0.58,0.58,0.49,0.72,0.78,0.39,DST_099_M_SUR.csv
0.54,0.51,0.38,0.46,0.68,0.4,0.56,0.39,0.63,0.58,0.66,0.72,0.7,0.61,0.55,0.38,0.46,DST_106_M_NUT.csv
0.89,0.94,0.31,0.99,0.23,0.54,0.2,0.23,0.33,0.14,0.55,0.6,0.19,0.48,0.8,0.74,0.52,DST_170_F_SUR.csv
0.54,0.45,0.78,0.22,0.85,0.86,0.61,0.7,0.69,0.86,0.69,0.98,0.58,0.81,0.27,0.73,0.29,DST_091_M_ANG.csv
0.56,0.43,0.47,0.21,0.95,0.82,0.98,0.95,0.75,0.82,0.58,0.89,0.67,0.58,0.56,0.31,0.4,DST_013_M_DIS.csv
0.86,0.56,0.89,0.98,0.49,0.54,0.33,0.64,0.43,0.68,0.88,0.92,0.61,0.61,0.31,0.52,0.24,DST_027_F_ANG.csv
0.57,0.78,0.35,0.5,0.74,0.77,0.89,0.76,0.67,0.55,0.45,0.73,0.24,0.57,0.38,0.32,0.37,DST_186_F_DIS.csv
0.53,0.19,0.78,0.23,0.93,0.95,0.59,0.8,0.88,0.89,0.69,0.86,0.88,0.68,0.73,0.61,0.42,DST_093_M_SAD.csv
0.41,0.3,0.91,0.42,0.78,0.82,0.62,0.55,0.62,0.66,0.84,0.9,0.92,0.63,0.39,0.41,0.49,DST_074_M_SAD.csv
0.39,0.25,0.79,0.74,0.46,0.83,0.57,0.43,0.34,0.75,0.72,0.71,0.55,0.64,0.17,0.36,0.25,DST_135_F_ANG.csv
0.52,0.34,0.84,0.44,0.82,0.99,0.97,0.75,0.44,0.63,0.55,0.6,0.25,0.57,0.55,0.47,0.54,DST_174_F_DIS.csv
0.46,0.37,0.96,0.49,0.61,0.65,0.72,0.58,0.32,0.46,0.7,0.93,0.82,0.68,0.24,0.42,0.36,DST_010_M_ANG.csv
0.92,0.97,0.29,0.99,0.55,0.65,0.34,0.43,0.62,0.58,0.64,0.79,0.86,0.62,0.42,0.37,0.24,DST_186_F_FER.csv
0.4,0.33,0.36,0.47,0.95,0.86,0.54,0.74,0.96,0.92,0.72,0.87,0.9,0.81,0.4,0.29,0.39,DST_074_M_HPY.csv
0.79,0.4,0.92,0.44,0.44,0.91,0.5,0.46,0.24,0.26,0.95,0.94,0.84,0.35,0.49,0.38,0.81,DST_142_F_SAD.csv
0.88,0.87,0.57,0.58,0.34,0.57,0.32,0.2,0.51,0.6,0.44,0.51,0.71,0.58,0.52,0.57,0.53,DST_182_F_NUT.csv
0.73,0.35,0.47,0.68,0.96,0.94,0.48,0.9,0.96,0.9,0.67,0.91,0.85,0.69,0.65,0.4,0.5,DST_097_M_HPY.csv
0.68,0.66,0.94,0.63,0.5,0.91,0.73,0.57,0.33,0.68,0.88,0.95,0.79,0.6,0.34,0.42,0.43,DST_173_F_SAD.csv
0.96,0.99,0.61,0.98,0.18,0.49,0.32,0.22,0.34,0.17,0.55,0.52,0.35,0.43,0.85,0.91,0.43,DST_176_F_SUR.csv
0.74,0.77,0.45,0.94,0.52,0.51,0.41,0.28,0.58,0.59,0.71,0.61,0.93,0.53,0.57,0.53,0.28,DST_105_M_FER.csv
0.49,0.37,0.77,0.62,0.6,0.73,0.63,0.51,0.45,0.2,0.77,0.64,0.72,0.46,0.47,0.39,0.38,DST_120_M_NUT.csv
0.35,0.65,0.66,0.86,0.88,0.97,0.98,0.89,0.64,0.37,0.37,0.92,0.31,0.65,0.52,0.49,0.3,DST_036_F_DIS.csv
0.88,0.96,0.37,0.99,0.26,0.47,0.31,0.36,0.47,0.29,0.29,0.32,0.24,0.4,0.59,0.62,0.18,DST_032_F_SUR.csv
0.57,0.57,0.83,0.37,0.63,0.86,0.71,0.36,0.58,0.5,0.61,0.44,0.58,0.47,0.52,0.64,0.45,DST_096_M_NUT.csv
0.91,0.97,0.35,0.99,0.19,0.49,0.23,0.23,0.36,0.14,0.59,0.58,0.26,0.36,0.9,0.88,0.47,DST_126_F_SUR.csv
0.64,0.45,0.83,0.36,0.81,0.94,0.95,0.77,0.56,0.68,0.35,0.65,0.39,0.63,0.52,0.38,0.61,DST_167_F_DIS.csv
0.29,0.51,0.85,0.56,0.69,0.69,0.61,0.48,0.41,0.68,0.77,0.8,0.84,0.75,0.22,0.26,0.32,DST_129_F_ANG.csv
0.96,0.99,0.52,1.0,0.23,0.39,0.25,0.16,0.35,0.18,0.43,0.49,0.43,0.51,0.66,0.89,0.36,DST_182_F_SUR.csv
0.65,0.57,0.47,0.46,0.47,0.54,0.63,0.75,0.51,0.72,0.78,0.84,0.62,0.55,0.63,0.66,0.4,DST_022_M_SAD.csv
0.62,0.7,0.34,0.84,0.24,0.54,0.32,0.16,0.31,0.46,0.72,0.43,0.54,0.57,0.29,0.23,0.35,DST_146_F_NUT.csv
0.46,0.25,0.59,0.43,0.94,0.99,0.97,0.92,0.61,0.81,0.67,0.9,0.62,0.72,0.38,0.32,0.47,DST_128_F_DIS.csv
0.96,0.98,0.48,0.98,0.49,0.56,0.29,0.35,0.64,0.67,0.7,0.68,0.89,0.42,0.54,0.65,0.26,DST_096_M_FER.csv
0.64,0.42,0.81,0.39,0.72,0.54,0.31,0.74,0.54,0.46,0.81,0.78,0.74,0.55,0.69,0.21,0.45,DST_047_M_SAD.csv
0.99,1.0,0.38,0.96,0.51,0.16,0.15,0.45,0.72,0.78,0.62,0.71,0.7,0.55,0.53,0.38,0.48,DST_015_M_FER.csv
0.44,0.45,0.53,0.66,0.83,0.62,0.54,0.78,0.96,0.9,0.28,0.78,0.49,0.64,0.74,0.6,0.34,DST_164_F_HPY.csv
0.78,0.94,0.4,0.97,0.42,0.32,0.55,0.53,0.44,0.37,0.51,0.44,0.27,0.53,0.76,0.85,0.35,DST_043_M_SUR.csv
0.89,0.98,0.24,0.97,0.42,0.14,0.55,0.55,0.52,0.52,0.58,0.49,0.56,0.33,0.87,0.82,0.36,DST_013_M_SUR.csv
0.61,0.44,0.9,0.93,0.53,0.88,0.4,0.35,0.37,0.38,0.73,0.9,0.78,0.67,0.29,0.48,0.35,DST_142_F_ANG.csv
0.67,0.44,0.42,0.75,0.41,0.62,0.28,0.31,0.38,0.29,0.68,0.45,0.69,0.57,0.44,0.24,0.43,DST_170_F_NUT.csv
0.47,0.47,0.69,0.43,0.62,0.53,0.71,0.66,0.47,0.85,0.63,0.95,0.83,0.83,0.25,0.83,0.26,DST_012_M_ANG.csv
0.88,0.97,0.1,0.98,0.32,0.44,0.11,0.14,0.43,0.3,0.81,0.6,0.94,0.59,0.48,0.26,0.26,DST_171_F_FER.csv
0.55,0.47,0.93,0.57,0.6,0.77,0.89,0.82,0.49,0.74,0.95,0.94,0.76,0.42,0.4,0.46,0.43,DST_023_F_SAD.csv
0.81,0.52,0.6,0.75,0.5,0.59,0.47,0.38,0.56,0.3,0.56,0.63,0.51,0.41,0.33,0.34,0.36,DST_084_M_NUT.csv
0.86,0.55,0.58,0.45,0.31,0.69,0.16,0.4,0.39,0.41,0.89,0.93,0.81,0.54,0.52,0.39,0.61,DST_131_F_SAD.csv
0.45,0.36,0.96,0.26,0.86,0.99,0.98,0.71,0.42,0.32,0.73,0.94,0.45,0.59,0.57,0.56,0.32,DST_081_M_DIS.csv
0.46,0.42,0.54,0.32,0.57,0.38,0.57,0.62,0.48,0.55,0.71,0.74,0.67,0.55,0.49,0.42,0.42,DST_012_M_NUT.csv
0.91,0.92,0.27,0.99,0.38,0.54,0.15,0.3,0.41,0.26,0.92,0.77,0.86,0.57,0.44,0.28,0.36,DST_170_F_FER.csv
0.91,0.96,0.39,0.98,0.41,0.57,0.51,0.34,0.49,0.26,0.59,0.41,0.39,0.44,0.9,0.92,0.54,DST_091_M_SUR.csv
0.96,1.0,0.27,0.99,0.28,0.5,0.23,0.18,0.55,0.2,0.35,0.65,0.77,0.46,0.84,0.22,0.32,DST_089_M_FER.csv
0.58,0.32,0.98,0.76,0.79,0.85,0.51,0.46,0.68,0.77,0.52,0.87,0.77,0.85,0.29,0.64,0.17,DST_098_M_ANG.csv
0.7,0.44,0.56,0.7,0.4,0.16,0.53,0.49,0.57,0.76,0.72,0.74,0.8,0.42,0.46,0.24,0.58,DST_004_F_NUT.csv
0.91,0.98,0.39,0.99,0.26,0.45,0.26,0.48,0.44,0.11,0.38,0.54,0.25,0.5,0.78,0.88,0.34,DST_065_F_SUR.csv
0.48,0.27,0.6,0.49,0.92,0.89,0.36,0.8,0.95,0.88,0.5,0.5,0.81,0.45,0.43,0.28,0.31,DST_115_M_HPY.csv
0.64,0.46,0.77,0.83,0.75,0.81,0.59,0.69,0.68,0.8,0.86,0.95,0.87,0.5,0.28,0.36,0.27,DST_002_F_ANG.csv
0.7,0.32,0.98,0.44,0.71,0.84,0.61,0.63,0.5,0.42,0.96,0.93,0.86,0.56,0.54,0.6,0.59,DST_120_M_SAD.csv
0.52,0.33,0.93,0.48,0.57,0.76,0.45,0.44,0.53,0.83,0.65,0.94,0.7,0.75,0.16,0.81,0.27,DST_081_M_ANG.csv
0.44,0.48,0.92,0.68,0.83,0.71,0.93,0.84,0.41,0.65,0.9,0.95,0.59,0.65,0.25,0.62,0.37,DST_043_M_ANG.csv
0.63,0.37,0.71,0.37,0.81,0.91,0.93,0.76,0.59,0.5,0.68,0.71,0.42,0.53,0.5,0.28,0.58,DST_004_F_DIS.csv
0.9,0.97,0.43,0.92,0.43,0.53,0.54,0.55,0.66,0.14,0.65,0.65,0.47,0.29,0.82,0.76,0.43,DST_105_M_SUR.csv
0.92,0.95,0.46,1.0,0.34,0.52,0.19,0.16,0.44,0.43,0.78,0.79,0.87,0.62,0.7,0.34,0.31,DST_126_F_FER.csv
0.92,0.98,0.45,0.99,0.41,0.41,0.55,0.27,0.49,0.1,0.6,0.59,0.24,0.44,0.78,0.91,0.18,DST_086_M_SUR.csv
0.88,0.94,0.48,0.98,0.31,0.63,0.56,0.3,0.43,0.11,0.48,0.51,0.23,0.55,0.89,0.83,0.52,DST_024_F_SUR.csv
0.72,0.45,0.82,0.44,0.25,0.81,0.76,0.62,0.25,0.3,0.91,0.93,0.6,0.58,0.28,0.33,0.41,DST_145_F_SAD.csv
0.6,0.4,0.59,0.91,0.62,0.96,0.48,0.42,0.4,0.53,0.5,0.92,0.93,0.77,0.28,0.41,0.16,DST_147_F_ANG.csv
0.95,0.95,0.41,0.89,0.55,0.54,0.23,0.27,0.68,0.63,0.81,0.73,0.9,0.35,0.39,0.43,0.34,DST_115_M_FER.csv
0.9,0.56,0.88,0.63,0.42,0.61,0.26,0.69,0.43,0.66,0.94,0.88,0.59,0.52,0.4,0.51,0.52,DST_027_F_SAD.csv
0.58,0.65,0.21,0.64,0.33,0.36,0.46,0.27,0.49,0.5,0.47,0.52,0.52,0.64,0.37,0.8,0.44,DST_022_M_NUT.csv
0.78,0.93,0.42,0.99,0.22,0.32,0.34,0.28,0.29,0.01,0.32,0.73,0.18,0.4,0.83,0.93,0.27,DST_145_F_SUR.csv
0.75,0.73,0.65,0.53,0.53,0.46,0.46,0.37,0.67,0.45,0.58,0.64,0.51,0.39,0.36,0.41,0.38,DST_118_M_NUT.csv
0.78,0.93,0.36,0.98,0.35,0.5,0.15,0.21,0.47,0.45,0.71,0.62,0.78,0.56,0.4,0.5,0.35,DST_185_F_FER.csv
0.5,0.47,0.4,0.48,0.85,0.86,0.53,0.84,0.93,0.87,0.52,0.75,0.69,0.6,0.66,0.61,0.45,DST_027_F_HPY.csv
0.64,0.5,0.98,0.72,0.42,0.84,0.71,0.45,0.25,0.51,0.89,0.88,0.69,0.54,0.29,0.42,0.57,DST_130_F_SAD.csv
0.74,0.85,0.44,0.55,0.31,0.45,0.35,0.23,0.41,0.32,0.71,0.47,0.67,0.46,0.57,0.46,0.61,DST_142_F_NUT.csv
0.74,0.38,0.68,0.32,0.63,0.48,0.59,0.61,0.57,0.64,0.64,0.64,0.6,0.45,0.6,0.52,0.46,DST_083_M_NUT.csv
0.43,0.41,0.57,0.38,0.81,0.97,0.88,0.76,0.55,0.46,0.47,0.81,0.25,0.69,0.46,0.48,0.54,DST_131_F_DIS.csv
0.62,0.48,0.6,0.49,0.94,0.93,0.46,0.85,0.92,0.82,0.62,0.93,0.53,0.78,0.33,0.77,0.41,DST_030_M_HPY.csv
0.58,0.65,0.57,0.69,0.56,0.5,0.66,0.45,0.57,0.4,0.64,0.52,0.64,0.41,0.65,0.55,0.47,DST_091_M_NUT.csv
0.92,0.92,0.42,0.74,0.43,0.41,0.29,0.31,0.51,0.63,0.79,0.92,0.9,0.61,0.37,0.48,0.47,DST_122_M_FER.csv
0.66,0.22,0.85,0.21,0.87,0.96,0.9,0.71,0.4,0.66,0.7,0.82,0.8,0.5,0.38,0.46,0.57,DST_136_F_DIS.csv
0.84,0.45,0.95,0.69,0.68,0.9,0.41,0.55,0.68,0.49,0.85,0.92,0.84,0.75,0.48,0.54,0.44,DST_110_M_SAD.csv
0.62,0.13,0.91,0.57,0.93,1.0,0.95,0.84,0.62,0.48,0.75,0.62,0.66,0.58,0.85,0.29,0.5,DST_170_F_DIS.csv
0.6,0.46,0.95,0.49,0.6,0.83,0.4,0.59,0.38,0.32,0.83,0.94,0.54,0.62,0.25,0.75,0.48,DST_030_M_SAD.csv
0.92,0.98,0.35,0.95,0.39,0.37,0.45,0.21,0.53,0.27,0.48,0.59,0.62,0.52,0.77,0.88,0.47,DST_122_M_SUR.csv
0.31,0.5,0.34,0.77,0.44,0.26,0.51,0.29,0.43,0.42,0.55,0.44,0.45,0.5,0.37,0.27,0.31,DST_137_F_NUT.csv
0.19,0.29,0.51,0.34,0.71,0.91,0.94,0.52,0.44,0.42,0.4,0.61,0.16,0.73,0.33,0.15,0.45,DST_137_F_DIS.csv
0.5,0.21,0.78,0.57,0.7,0.95,0.55,0.54,0.45,0.58,0.82,0.91,0.8,0.56,0.32,0.19,0.74,DST_128_F_SAD.csv
0.32,0.27,0.67,0.31,0.9,0.96,0.97,0.87,0.64,0.71,0.74,0.86,0.66,0.67,0.4,0.43,0.31,DST_105_M_DIS.csv
0.58,0.34,0.99,0.5,0.85,0.99,0.95,0.81,0.37,0.62,0.68,0.9,0.46,0.61,0.27,0.4,0.71,DST_130_F_DIS.csv
0.55,0.45,0.55,0.58,0.54,0.26,0.55,0.51,0.48,0.51,0.61,0.67,0.77,0.43,0.35,0.47,0.5,DST_010_M_NUT.csv
0.68,0.41,0.84,0.34,0.6,0.71,0.74,0.65,0.59,0.49,0.66,0.87,0.26,0.63,0.56,0.53,0.45,DST_164_F_SAD.csv
0.87,0.75,0.88,0.54,0.73,0.5,0.65,0.7,0.78,0.92,0.81,0.91,0.84,0.61,0.46,0.45,0.56,DST_016_M_SAD.csv
0.9,0.95,0.43,0.98,0.55,0.4,0.41,0.43,0.59,0.57,0.85,0.76,0.92,0.42,0.86,0.73,0.37,DST_091_M_FER.csv
0.75,0.66,0.93,0.72,0.63,0.69,0.59,0.47,0.44,0.88,0.72,0.83,0.73,0.49,0.54,0.5,0.3,DST_163_F_SAD.csv
0.79,0.96,0.29,0.99,0.35,0.37,0.37,0.39,0.5,0.32,0.38,0.35,0.32,0.43,0.8,0.55,0.24,DST_137_F_SUR.csv
0.65,0.46,0.69,0.37,0.75,0.76,0.68,0.87,0.53,0.83,0.92,0.96,0.79,0.54,0.55,0.61,0.48,DST_041_M_SAD.csv
