 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.87,0.95,0.4,0.94,0.42,0.54,0.26,0.15,0.44,0.38,0.79,0.61,0.8,0.48,0.51,0.33,0.3,DST_081_M_FER.csv
0.91,0.98,0.22,0.99,0.39,0.37,0.3,0.46,0.55,0.33,0.34,0.33,0.32,0.5,0.85,0.91,0.39,DST_088_M_SUR.csv
0.66,0.58,0.3,0.58,0.84,0.92,0.27,0.78,0.95,0.85,0.42,0.51,0.62,0.55,0.47,0.29,0.45,DST_131_F_HPY.csv
0.89,0.97,0.29,0.97,0.35,0.3,0.3,0.26,0.54,0.44,0.77,0.35,0.96,0.57,0.46,0.25,0.28,DST_129_F_FER.csv
0.74,0.8,0.6,0.78,0.5,0.52,0.34,0.3,0.65,0.2,0.66,0.6,0.62,0.67,0.69,0.75,0.51,DST_110_M_NUT.csv
0.75,0.47,0.88,0.71,0.42,0.12,0.66,0.73,0.51,0.73,0.57,0.95,0.51,0.47,0.32,0.22,0.26,DST_004_F_ANG.csv
0.92,0.89,0.57,0.98,0.55,0.57,0.29,0.32,0.52,0.17,0.79,0.8,0.88,0.38,0.74,0.38,0.25,DST_120_M_FER.csv
0.48,0.55,0.37,0.65,0.33,0.25,0.3,0.21,0.45,0.45,0.47,0.58,0.49,0.46,0.24,0.38,0.47,DST_025_F_NUT.csv
0.4,0.4,0.28,0.71,0.91,0.91,0.49,0.85,0.9,0.87,0.63,0.73,0.68,0.7,0.35,0.44,0.4,DST_149_F_HPY.csv
0.41,0.48,0.24,0.63,0.78,0.52,0.55,0.83,0.9,0.87,0.41,0.56,0.7,0.47,0.47,0.22,0.37,DST_025_F_HPY.csv
0.96,0.99,0.46,0.97,0.45,0.44,0.23,0.53,0.42,0.46,0.53,0.72,0.9,0.43,0.5,0.53,0.35,DST_031_M_FER.csv
0.92,0.99,0.28,0.99,0.35,0.15,0.26,0.25,0.49,0.63,0.59,0.69,0.74,0.46,0.66,0.28,0.23,DST_158_F_FER.csv
0.75,0.49,0.89,0.75,0.72,0.85,0.66,0.64,0.54,0.42,0.75,0.96,0.6,0.79,0.21,0.62,0.13,DST_086_M_ANG.csv
0.46,0.45,0.37,0.7,0.66,0.74,0.22,0.44,0.9,0.72,0.48,0.61,0.79,0.72,0.43,0.34,0.27,DST_147_F_HPY.csv
0.71,0.76,0.37,0.59,0.37,0.23,0.45,0.28,0.43,0.48,0.49,0.71,0.58,0.5,0.38,0.11,0.45,DST_158_F_NUT.csv
0.6,0.24,0.84,0.43,0.45,0.89,0.6,0.44,0.32,0.35,0.78,0.94,0.4,0.54,0.21,0.57,0.3,DST_178_F_SAD.csv
0.78,0.72,0.36,0.67,0.56,0.32,0.58,0.7,0.55,0.5,0.65,0.8,0.77,0.5,0.58,0.59,0.53,DST_041_M_NUT.csv
0.44,0.77,0.46,0.7,0.49,0.19,0.64,0.56,0.47,0.63,0.53,0.74,0.53,0.47,0.56,0.55,0.54,DST_048_M_NUT.csv
0.6,0.46,0.86,0.73,0.7,0.94,0.76,0.84,0.53,0.64,0.96,0.95,0.85,0.52,0.55,0.37,0.34,DST_056_M_SAD.csv
0.64,0.6,0.95,0.73,0.55,0.88,0.69,0.33,0.38,0.78,0.48,0.92,0.68,0.76,0.28,0.54,0.3,DST_173_F_ANG.csv
0.94,0.98,0.44,0.82,0.39,0.39,0.43,0.59,0.48,0.38,0.31,0.44,0.36,0.43,0.86,0.66,0.51,DST_167_F_SUR.csv
0.92,0.97,0.58,0.96,0.44,0.29,0.23,0.33,0.58,0.09,0.57,0.43,0.33,0.22,0.77,0.82,0.3,DST_118_M_SUR.csv
0.91,0.98,0.24,0.98,0.26,0.22,0.18,0.53,0.49,0.47,0.83,0.75,0.81,0.41,0.49,0.39,0.36,DST_009_F_FER.csv
0.59,0.46,0.49,0.53,0.87,0.94,0.41,0.7,0.96,0.83,0.34,0.5,0.7,0.72,0.76,0.53,0.46,DST_065_F_HPY.csv
0.37,0.2,0.84,0.1,0.94,0.88,0.96,0.95,0.67,0.79,0.49,0.95,0.64,0.68,0.54,0.67,0.47,DST_091_M_DIS.csv
0.6,0.35,0.94,0.39,0.36,0.83,0.73,0.45,0.16,0.17,0.91,0.96,0.52,0.47,0.24,0.38,0.34,DST_119_M_SAD.csv
0.49,0.59,0.45,0.89,0.27,0.6,0.18,0.19,0.38,0.36,0.49,0.55,0.78,0.62,0.36,0.43,0.29,DST_147_F_NUT.csv
0.69,0.51,0.72,0.56,0.36,0.5,0.56,0.51,0.42,0.78,0.72,0.94,0.75,0.71,0.22,0.68,0.23,DST_174_F_ANG.csv
0.95,0.98,0.65,0.99,0.29,0.54,0.44,0.36,0.49,0.2,0.45,0.51,0.27,0.44,0.79,0.87,0.41,DST_083_M_SUR.csv
0.9,0.99,0.46,0.99,0.35,0.2,0.54,0.23,0.46,0.23,0.5,0.57,0.55,0.4,0.83,0.92,0.31,DST_068_M_SUR.csv
0.92,0.64,0.59,0.63,0.53,0.77,0.38,0.77,0.5,0.39,0.94,0.93,0.69,0.6,0.36,0.21,0.34,DST_170_F_SAD.csv
0.65,0.25,0.75,0.39,0.53,0.76,0.64,0.34,0.56,0.29,0.7,0.75,0.54,0.53,0.34,0.43,0.4,DST_119_M_NUT.csv
0.29,0.39,0.39,0.39,0.91,0.66,0.74,0.72,0.93,0.85,0.46,0.65,0.73,0.57,0.7,0.44,0.61,DST_106_M_HPY.csv
0.38,0.55,0.82,0.49,0.91,0.99,0.96,0.79,0.63,0.16,0.36,0.79,0.36,0.5,0.51,0.2,0.56,DST_089_M_DIS.csv
0.7,0.33,0.51,0.52,0.91,0.67,0.54,0.84,0.96,0.91,0.43,0.41,0.63,0.73,0.67,0.33,0.37,DST_083_M_HPY.csv
0.4,0.55,0.25,0.59,0.32,0.54,0.43,0.3,0.37,0.4,0.66,0.58,0.59,0.52,0.22,0.22,0.54,DST_177_F_NUT.csv
0.66,0.24,0.85,0.57,0.96,0.97,0.75,0.85,0.89,0.92,0.8,0.99,0.87,0.72,0.29,0.51,0.32,DST_051_M_DIS.csv
0.9,0.94,0.14,0.97,0.62,0.44,0.16,0.51,0.84,0.65,0.64,0.72,0.86,0.45,0.54,0.31,0.21,DST_093_M_FER.csv
0.24,0.17,0.74,0.11,0.88,0.93,0.93,0.78,0.72,0.77,0.62,0.85,0.61,0.51,0.44,0.3,0.56,DST_090_M_DIS.csv
0.53,0.55,0.55,0.63,0.44,0.53,0.56,0.42,0.48,0.44,0.67,0.72,0.45,0.59,0.55,0.49,0.54,DST_098_M_NUT.csv
0.67,0.76,0.28,0.64,0.29,0.71,0.2,0.22,0.42,0.35,0.7,0.55,0.58,0.47,0.28,0.21,0.41,DST_131_F_NUT.csv
0.67,0.46,0.87,0.42,0.92,0.96,0.96,0.98,0.75,0.77,0.77,0.87,0.51,0.65,0.49,0.4,0.4,DST_010_M_DIS.csv
0.46,0.35,0.86,0.39,0.72,0.75,0.7,0.74,0.66,0.76,0.62,0.96,0.65,0.82,0.09,0.56,0.16,DST_090_M_ANG.csv
0.6,0.51,0.76,0.42,0.86,0.85,0.99,0.76,0.47,0.79,0.32,0.78,0.47,0.54,0.44,0.33,0.48,DST_159_F_DIS.csv
0.43,0.5,0.44,0.53,0.42,0.52,0.57,0.29,0.55,0.73,0.57,0.62,0.66,0.59,0.26,0.31,0.3,DST_029_F_NUT.csv
0.46,0.35,0.43,0.55,0.76,0.89,0.56,0.64,0.88,0.79,0.44,0.61,0.59,0.5,0.5,0.61,0.29,DST_178_F_HPY.csv
0.85,0.98,0.43,0.99,0.22,0.27,0.44,0.47,0.34,0.14,0.16,0.73,0.13,0.56,0.86,0.88,0.41,DST_158_F_SUR.csv
0.53,0.41,0.78,0.88,0.48,0.73,0.55,0.21,0.3,0.42,0.65,0.84,0.63,0.75,0.21,0.36,0.2,DST_123_F_ANG.csv
0.93,0.99,0.49,0.99,0.44,0.48,0.47,0.46,0.52,0.28,0.49,0.52,0.25,0.38,0.96,0.94,0.39,DST_098_M_SUR.csv
0.62,0.4,0.83,0.76,0.43,0.85,0.23,0.24,0.4,0.53,0.58,0.79,0.95,0.54,0.45,0.61,0.36,DST_147_F_SAD.csv
0.75,0.81,0.24,0.49,0.72,0.71,0.34,0.58,0.96,0.81,0.42,0.53,0.59,0.55,0.78,0.49,0.68,DST_176_F_HPY.csv
0.93,0.77,0.9,0.97,0.4,0.59,0.36,0.38,0.52,0.76,0.46,0.76,0.72,0.72,0.56,0.6,0.2,DST_182_F_ANG.csv
0.41,0.35,0.79,0.52,0.7,0.87,0.62,0.64,0.48,0.69,0.84,0.77,0.76,0.46,0.38,0.49,0.52,DST_177_F_SAD.csv
0.53,0.67,0.55,0.62,0.41,0.61,0.58,0.42,0.53,0.31,0.67,0.7,0.77,0.34,0.66,0.46,0.49,DST_089_M_NUT.csv
0.67,0.49,0.52,0.5,0.44,0.84,0.45,0.31,0.41,0.4,0.79,0.91,0.45,0.56,0.26,0.32,0.52,DST_146_F_SAD.csv
0.54,0.48,0.72,0.81,0.44,0.64,0.46,0.35,0.36,0.24,0.96,0.98,0.82,0.71,0.2,0.23,0.23,DST_133_F_ANG.csv
0.89,0.97,0.41,0.98,0.41,0.2,0.33,0.38,0.51,0.11,0.79,0.52,0.36,0.41,0.9,0.65,0.31,DST_056_M_SUR.csv
0.74,0.74,0.53,0.43,0.42,0.52,0.27,0.38,0.54,0.65,0.64,0.58,0.74,0.52,0.46,0.39,0.48,DST_065_F_NUT.csv
0.44,0.48,0.67,0.81,0.42,0.4,0.46,0.49,0.38,0.75,0.84,0.89,0.79,0.61,0.18,0.49,0.22,DST_177_F_ANG.csv
0.72,0.65,0.41,0.62,0.88,0.78,0.42,0.84,0.98,0.82,0.41,0.66,0.57,0.63,0.63,0.58,0.25,DST_077_M_HPY.csv
0.87,0.94,0.14,0.97,0.36,0.52,0.14,0.17,0.46,0.64,0.51,0.72,0.85,0.64,0.32,0.5,0.15,DST_149_F_FER.csv
0.78,0.22,0.99,0.28,0.59,0.81,0.35,0.46,0.47,0.66,0.9,0.92,0.92,0.41,0.59,0.46,0.55,DST_097_M_SAD.csv
0.59,0.69,0.18,0.77,0.48,0.2,0.57,0.39,0.65,0.51,0.53,0.55,0.78,0.55,0.39,0.42,0.39,DST_042_F_NUT.csv
0.95,0.99,0.42,0.99,0.43,0.29,0.3,0.16,0.55,0.56,0.66,0.82,0.92,0.7,0.61,0.63,0.42,DST_098_M_FER.csv
0.92,0.97,0.11,0.94,0.68,0.33,0.09,0.32,0.94,0.73,0.54,0.57,0.85,0.68,0.39,0.14,0.23,DST_064_M_FER.csv
0.56,0.38,0.73,0.78,0.87,0.98,0.94,0.84,0.49,0.33,0.76,0.93,0.24,0.49,0.41,0.29,0.44,DST_142_F_DIS.csv
0.94,0.99,0.6,0.99,0.37,0.3,0.36,0.55,0.47,0.18,0.84,0.94,0.87,0.51,0.7,0.67,0.3,DST_012_M_FER.csv
0.8,0.56,0.68,0.96,0.46,0.56,0.27,0.29,0.41,0.57,0.84,0.9,0.79,0.57,0.27,0.71,0.21,DST_136_F_FER.csv
0.47,0.59,0.44,0.69,0.82,0.85,0.51,0.67,0.85,0.46,0.31,0.79,0.69,0.7,0.43,0.14,0.39,DST_068_M_HPY.csv
0.51,0.62,0.48,0.86,0.56,0.16,0.28,0.49,0.54,0.46,0.52,0.68,0.69,0.5,0.48,0.42,0.29,DST_047_M_NUT.csv
0.4,0.63,0.22,0.74,0.95,0.88,0.48,0.82,0.98,0.79,0.2,0.58,0.43,0.62,0.59,0.5,0.41,DST_036_F_HPY.csv
0.78,0.42,0.79,0.35,0.45,0.51,0.35,0.36,0.47,0.72,0.49,0.78,0.74,0.57,0.58,0.43,0.42,DST_183_F_SAD.csv
0.46,0.61,0.9,0.59,0.91,0.96,0.93,0.91,0.6,0.68,0.81,0.94,0.27,0.6,0.34,0.44,0.34,DST_043_M_DIS.csv
0.47,0.27,0.84,0.24,0.69,0.92,0.79,0.46,0.53,0.79,0.7,0.66,0.52,0.5,0.4,0.56,0.68,DST_024_F_NUT.csv
0.89,0.97,0.4,0.99,0.19,0.19,0.21,0.23,0.35,0.19,0.42,0.51,0.37,0.41,0.81,0.86,0.33,DST_157_F_SUR.csv
0.89,0.97,0.49,0.99,0.23,0.61,0.15,0.18,0.29,0.06,0.5,0.69,0.22,0.63,0.56,0.54,0.34,DST_149_F_SUR.csv
0.9,0.93,0.76,0.98,0.37,0.48,0.44,0.34,0.39,0.13,0.64,0.78,0.3,0.44,0.68,0.93,0.39,DST_120_M_SUR.csv
0.82,0.88,0.47,0.99,0.3,0.33,0.41,0.42,0.44,0.11,0.4,0.76,0.31,0.49,0.67,0.83,0.35,DST_010_M_SUR.csv
0.49,0.49,0.55,0.64,0.47,0.63,0.64,0.53,0.51,0.48,0.7,0.83,0.73,0.51,0.48,0.46,0.58,DST_122_M_NUT.csv
0.93,0.98,0.27,0.98,0.37,0.35,0.26,0.21,0.57,0.23,0.49,0.64,0.34,0.36,0.74,0.92,0.3,DST_064_M_SUR.csv
0.63,0.43,0.23,0.41,0.76,0.66,0.38,0.77,0.96,0.86,0.33,0.45,0.8,0.57,0.66,0.37,0.44,DST_174_F_HPY.csv
0.93,0.99,0.54,1.0,0.37,0.39,0.3,0.19,0.56,0.43,0.66,0.55,0.65,0.64,0.77,0.9,0.46,DST_110_M_SUR.csv
0.66,0.47,0.61,0.6,0.31,0.41,0.23,0.46,0.36,0.7,0.78,0.85,0.71,0.55,0.26,0.31,0.51,DST_162_F_SAD.csv
0.5,0.38,0.91,0.56,0.69,0.76,0.55,0.64,0.65,0.53,0.71,0.94,0.78,0.71,0.29,0.7,0.37,DST_120_M_ANG.csv
0.45,0.6,0.69,0.66,0.93,0.86,0.8,0.82,0.93,0.87,0.3,0.71,0.36,0.71,0.66,0.36,0.38,DST_163_F_HPY.csv
0.63,0.54,0.86,0.39,0.65,0.71,0.81,0.6,0.39,0.47,0.6,0.71,0.56,0.57,0.36,0.27,0.35,DST_013_M_ANG.csv
0.85,0.75,0.38,0.58,0.94,0.31,0.64,0.91,0.97,0.98,0.68,0.85,0.79,0.44,0.57,0.17,0.51,DST_016_M_HPY.csv
0.93,0.98,0.26,0.98,0.47,0.12,0.26,0.38,0.63,0.76,0.67,0.74,0.87,0.46,0.66,0.28,0.25,DST_040_F_FER.csv
0.89,0.65,0.83,0.5,0.73,0.85,0.51,0.65,0.84,0.83,0.61,0.96,0.67,0.77,0.32,0.71,0.4,DST_088_M_ANG.csv
0.73,0.59,0.2,0.4,0.9,0.75,0.69,0.95,0.92,0.92,0.52,0.86,0.71,0.61,0.68,0.32,0.5,DST_041_M_HPY.csv
0.54,0.2,0.69,0.59,0.46,0.57,0.26,0.31,0.47,0.59,0.67,0.85,0.87,0.76,0.2,0.27,0.35,DST_171_F_ANG.csv
0.39,0.66,0.32,0.67,0.9,0.74,0.72,0.86,0.93,0.85,0.34,0.6,0.63,0.66,0.54,0.28,0.37,DST_043_M_HPY.csv
0.77,0.41,0.89,0.49,0.53,0.78,0.64,0.73,0.61,0.81,0.89,0.89,0.82,0.59,0.4,0.57,0.38,DST_174_F_SAD.csv
0.71,0.56,0.89,0.89,0.73,0.73,0.73,0.76,0.57,0.71,0.82,0.93,0.83,0.74,0.22,0.42,0.13,DST_084_M_ANG.csv
0.36,0.48,0.72,0.36,0.65,0.64,0.6,0.38,0.51,0.63,0.93,0.77,0.94,0.49,0.45,0.33,0.61,DST_129_F_SAD.csv
0.45,0.58,0.37,0.72,0.84,0.82,0.56,0.78,0.95,0.88,0.46,0.51,0.47,0.65,0.71,0.47,0.24,DST_161_F_HPY.csv
0.72,0.7,0.42,0.7,0.79,0.56,0.29,0.7,0.95,0.95,0.31,0.81,0.7,0.6,0.43,0.41,0.52,DST_046_F_HPY.csv
0.49,0.63,0.46,0.42,0.42,0.27,0.46,0.28,0.47,0.69,0.62,0.54,0.83,0.66,0.32,0.43,0.57,DST_129_F_NUT.csv
0.7,0.38,0.47,0.64,0.9,0.88,0.34,0.76,0.97,0.82,0.27,0.66,0.59,0.66,0.44,0.3,0.25,DST_084_M_HPY.csv
0.73,0.89,0.37,0.84,0.31,0.21,0.36,0.39,0.42,0.34,0.48,0.48,0.45,0.48,0.5,0.43,0.44,DST_036_F_NUT.csv
0.6,0.19,0.94,0.29,0.67,0.76,0.53,0.42,0.46,0.6,0.75,0.85,0.8,0.34,0.5,0.21,0.32,DST_114_M_SAD.csv
0.69,0.68,0.74,0.53,0.38,0.49,0.46,0.52,0.38,0.44,0.89,0.87,0.45,0.51,0.37,0.35,0.62,DST_157_F_SAD.csv
0.28,0.21,0.71,0.73,0.5,0.86,0.53,0.49,0.42,0.71,0.83,0.92,0.84,0.77,0.19,0.53,0.27,DST_128_F_ANG.csv
0.51,0.71,0.53,0.94,0.55,0.44,0.28,0.57,0.64,0.49,0.59,0.89,0.69,0.78,0.48,0.7,0.22,DST_124_F_ANG.csv
0.53,0.54,0.57,0.62,0.86,0.9,0.68,0.89,0.88,0.75,0.46,0.8,0.78,0.62,0.6,0.21,0.53,DST_122_M_HPY.csv
0.56,0.57,0.44,0.54,0.42,0.62,0.34,0.29,0.5,0.39,0.46,0.48,0.35,0.48,0.44,0.44,0.48,DST_027_F_NUT.csv
0.63,0.37,0.48,0.55,0.49,0.43,0.5,0.44,0.45,0.56,0.79,0.7,0.86,0.43,0.41,0.31,0.43,DST_051_M_NUT.csv
0.88,0.62,0.88,0.63,0.49,0.55,0.31,0.55,0.71,0.81,0.54,0.91,0.7,0.82,0.38,0.91,0.5,DST_015_M_ANG.csv
0.51,0.66,0.67,0.75,0.49,0.26,0.42,0.68,0.47,0.49,0.36,0.7,0.6,0.5,0.53,0.28,0.35,DST_031_M_NUT.csv
0.43,0.38,0.24,0.73,0.81,0.94,0.41,0.6,0.89,0.82,0.63,0.5,0.84,0.69,0.4,0.39,0.37,DST_133_F_HPY.csv
0.46,0.27,0.91,0.2,0.8,0.98,0.87,0.73,0.48,0.67,0.88,0.93,0.68,0.66,0.27,0.58,0.58,DST_096_M_DIS.csv
0.57,0.66,0.53,0.63,0.4,0.66,0.55,0.13,0.31,0.49,0.4,0.55,0.62,0.64,0.33,0.22,0.34,DST_173_F_NUT.csv
0.58,0.63,0.32,0.65,0.49,0.48,0.57,0.47,0.62,0.64,0.52,0.62,0.6,0.44,0.56,0.59,0.32,DST_077_M_NUT.csv
0.61,0.62,0.47,0.75,0.45,0.44,0.47,0.43,0.51,0.49,0.36,0.49,0.41,0.53,0.3,0.17,0.21,DST_032_F_NUT.csv
0.93,0.99,0.5,0.99,0.52,0.57,0.27,0.25,0.57,0.3,0.49,0.85,0.75,0.63,0.68,0.77,0.42,DST_030_M_FER.csv
0.49,0.23,0.54,0.44,0.89,0.91,0.5,0.67,0.96,0.81,0.38,0.61,0.67,0.7,0.52,0.46,0.42,DST_119_M_HPY.csv
0.26,0.36,0.54,0.63,0.74,0.94,0.92,0.46,0.29,0.24,0.7,0.88,0.32,0.66,0.31,0.29,0.52,DST_149_F_DIS.csv
0.48,0.54,0.34,0.7,0.45,0.59,0.3,0.2,0.36,0.47,0.71,0.79,0.66,0.64,0.26,0.27,0.47,DST_149_F_NUT.csv
0.44,0.56,0.54,0.43,0.72,0.67,0.56,0.44,0.55,0.66,0.76,0.8,0.9,0.69,0.53,0.74,0.43,DST_108_M_NUT.csv
0.68,0.39,0.88,0.46,0.82,0.94,0.67,0.71,0.75,0.74,0.7,0.91,0.61,0.77,0.59,0.6,0.27,DST_161_F_SAD.csv
0.5,0.61,0.54,0.56,0.65,0.62,0.68,0.59,0.56,0.35,0.66,0.74,0.73,0.58,0.56,0.55,0.43,DST_020_M_NUT.csv
0.57,0.41,0.65,0.46,0.66,0.57,0.58,0.52,0.69,0.59,0.62,0.65,0.55,0.55,0.49,0.58,0.35,DST_093_M_NUT.csv
0.6,0.78,0.5,0.76,0.49,0.53,0.61,0.34,0.42,0.23,0.59,0.76,0.86,0.6,0.38,0.52,0.39,DST_068_M_NUT.csv
0.55,0.64,0.86,0.48,0.8,0.98,0.82,0.57,0.74,0.79,0.67,0.94,0.79,0.84,0.46,0.75,0.51,DST_089_M_ANG.csv
0.6,0.47,0.75,0.31,0.72,0.87,0.69,0.69,0.56,0.66,0.8,0.89,0.56,0.53,0.46,0.7,0.44,DST_077_M_SAD.csv
0.65,0.55,0.89,0.56,0.8,0.96,0.91,0.57,0.6,0.33,0.79,0.92,0.65,0.79,0.57,0.52,0.37,DST_110_M_DIS.csv
0.28,0.43,0.39,0.57,0.86,0.87,0.63,0.81,0.94,0.81,0.56,0.75,0.76,0.66,0.53,0.56,0.38,DST_105_M_HPY.csv
0.98,1.0,0.47,0.99,0.3,0.11,0.15,0.36,0.67,0.39,0.46,0.48,0.28,0.53,0.74,0.86,0.4,DST_015_M_SUR.csv
0.91,0.97,0.43,0.71,0.46,0.31,0.43,0.5,0.51,0.76,0.46,0.55,0.76,0.42,0.64,0.25,0.51,DST_167_F_FER.csv
0.37,0.23,0.71,0.53,0.83,0.99,0.91,0.69,0.43,0.55,0.7,0.88,0.7,0.51,0.5,0.43,0.43,DST_147_F_DIS.csv
0.85,0.97,0.63,0.98,0.33,0.48,0.42,0.3,0.43,0.07,0.53,0.67,0.15,0.31,0.87,0.74,0.2,DST_114_M_SUR.csv
0.3,0.39,0.37,0.56,0.52,0.59,0.55,0.42,0.63,0.65,0.7,0.75,0.81,0.6,0.38,0.64,0.37,DST_105_M_NUT.csv
0.89,0.7,0.72,0.59,0.4,0.73,0.55,0.51,0.44,0.13,0.81,0.86,0.49,0.49,0.51,0.44,0.46,DST_079_M_NUT.csv
0.51,0.42,0.56,0.57,0.6,0.67,0.45,0.42,0.54,0.58,0.82,0.67,0.79,0.49,0.56,0.41,0.33,DST_056_M_NUT.csv
0.64,0.77,0.43,0.74,0.72,0.81,0.93,0.84,0.52,0.8,0.7,0.93,0.28,0.68,0.29,0.76,0.26,DST_022_M_ANG.csv
0.91,0.96,0.55,0.99,0.37,0.52,0.45,0.31,0.54,0.12,0.66,0.59,0.67,0.38,0.87,0.86,0.28,DST_074_M_SUR.csv
0.68,0.65,0.18,0.65,0.64,0.55,0.59,0.31,0.48,0.24,0.83,0.67,0.77,0.42,0.63,0.73,0.48,DST_103_M_NUT.csv
0.53,0.37,0.83,0.75,0.56,0.93,0.61,0.43,0.37,0.39,0.76,0.94,0.74,0.68,0.22,0.67,0.32,DST_185_F_ANG.csv
0.43,0.62,0.93,0.4,0.9,0.85,0.96,0.91,0.63,0.56,0.53,0.91,0.45,0.75,0.62,0.6,0.32,DST_048_M_DIS.csv
0.66,0.59,0.81,0.82,0.79,0.73,0.65,0.61,0.77,0.61,0.67,0.93,0.86,0.68,0.4,0.26,0.23,DST_042_F_ANG.csv
