 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.59,0.65,0.73,0.55,0.94,0.94,0.97,0.84,0.66,0.31,0.58,0.76,0.75,0.64,0.73,0.41,0.3,DST_042_F_DIS.csv
0.58,0.39,0.22,0.79,0.75,0.58,0.3,0.39,0.86,0.87,0.67,0.82,0.95,0.69,0.44,0.33,0.34,DST_051_M_HPY.csv
0.94,0.99,0.27,0.99,0.34,0.22,0.18,0.27,0.42,0.36,0.76,0.84,0.79,0.62,0.4,0.4,0.25,DST_099_M_FER.csv
0.71,0.58,0.28,0.52,0.71,0.13,0.26,0.55,0.94,0.97,0.33,0.68,0.87,0.67,0.52,0.38,0.44,DST_005_F_HPY.csv
0.41,0.45,0.43,0.71,0.8,0.82,0.75,0.77,0.83,0.94,0.61,0.88,0.87,0.78,0.48,0.43,0.33,DST_173_F_HPY.csv
0.34,0.27,0.81,0.8,0.46,0.59,0.57,0.41,0.32,0.56,0.91,0.81,0.7,0.56,0.3,0.38,0.31,DST_137_F_SAD.csv
0.57,0.66,0.86,0.78,0.47,0.59,0.47,0.31,0.42,0.5,0.81,0.92,0.64,0.69,0.19,0.49,0.2,DST_064_M_ANG.csv
0.82,0.63,0.71,0.56,0.54,0.17,0.47,0.63,0.69,0.9,0.55,0.77,0.77,0.45,0.6,0.34,0.42,DST_005_F_NUT.csv
0.56,0.59,0.24,0.45,0.88,0.6,0.42,0.86,0.98,0.92,0.33,0.4,0.61,0.53,0.64,0.33,0.45,DST_040_F_HPY.csv
0.98,1.0,0.42,0.99,0.26,0.55,0.49,0.29,0.46,0.03,0.6,0.82,0.2,0.41,0.67,0.49,0.31,DST_079_M_SUR.csv
0.89,0.98,0.38,0.99,0.26,0.43,0.33,0.23,0.4,0.14,0.39,0.44,0.3,0.41,0.86,0.91,0.34,DST_123_F_SUR.csv
0.88,0.65,0.8,0.99,0.39,0.47,0.22,0.68,0.45,0.58,0.9,0.72,0.39,0.53,0.4,0.47,0.18,DST_027_F_FER.csv
0.86,0.96,0.46,0.97,0.31,0.51,0.35,0.27,0.44,0.2,0.64,0.56,0.43,0.34,0.8,0.9,0.42,DST_081_M_SUR.csv
0.94,0.99,0.15,0.99,0.38,0.42,0.29,0.38,0.53,0.29,0.57,0.65,0.63,0.51,0.62,0.65,0.28,DST_022_M_FER.csv
0.3,0.24,0.58,0.19,0.88,0.98,0.95,0.91,0.63,0.81,0.69,0.81,0.54,0.69,0.41,0.7,0.23,DST_047_M_ANG.csv
0.48,0.51,0.34,0.6,0.33,0.65,0.36,0.22,0.43,0.39,0.81,0.59,0.61,0.52,0.35,0.28,0.51,DST_128_F_NUT.csv
0.4,0.48,0.71,0.65,0.93,0.96,0.98,0.9,0.67,0.78,0.63,0.7,0.45,0.71,0.59,0.43,0.27,DST_161_F_DIS.csv
0.45,0.58,0.31,0.67,0.78,0.63,0.7,0.8,0.89,0.9,0.4,0.77,0.78,0.72,0.47,0.44,0.28,DST_183_F_HPY.csv
0.38,0.2,0.76,0.47,0.46,0.92,0.64,0.35,0.35,0.65,0.84,0.58,0.72,0.43,0.57,0.5,0.42,DST_135_F_SAD.csv
0.44,0.47,0.64,0.54,0.47,0.64,0.75,0.55,0.42,0.61,0.75,0.75,0.37,0.42,0.32,0.39,0.49,DST_023_F_NUT.csv
0.53,0.33,0.98,0.55,0.87,1.0,0.93,0.84,0.47,0.52,0.59,0.93,0.33,0.66,0.44,0.06,0.52,DST_126_F_DIS.csv
0.68,0.68,0.92,0.91,0.66,0.86,0.53,0.59,0.39,0.64,0.8,0.97,0.54,0.85,0.14,0.73,0.2,DST_030_M_ANG.csv
0.6,0.59,0.88,0.54,0.71,0.91,0.84,0.54,0.62,0.5,0.7,0.94,0.66,0.81,0.46,0.73,0.3,DST_110_M_ANG.csv
0.39,0.26,0.69,0.54,0.86,0.96,0.96,0.65,0.63,0.49,0.64,0.7,0.42,0.52,0.45,0.32,0.52,DST_115_M_DIS.csv
0.62,0.65,0.76,0.78,0.33,0.45,0.58,0.29,0.34,0.42,0.61,0.68,0.67,0.53,0.33,0.38,0.55,DST_130_F_NUT.csv
0.96,0.99,0.08,0.98,0.61,0.18,0.33,0.39,0.77,0.26,0.9,0.78,0.88,0.49,0.75,0.58,0.34,DST_103_M_FER.csv
0.9,0.97,0.62,1.0,0.3,0.43,0.35,0.32,0.47,0.27,0.72,0.72,0.62,0.28,0.92,0.84,0.27,DST_097_M_SUR.csv
0.7,0.5,0.81,0.94,0.43,0.74,0.27,0.35,0.4,0.58,0.7,0.92,0.77,0.59,0.28,0.41,0.29,DST_131_F_ANG.csv
0.52,0.75,0.7,0.51,0.84,0.89,0.96,0.84,0.75,0.5,0.44,0.73,0.25,0.58,0.57,0.25,0.27,DST_088_M_DIS.csv
0.86,0.99,0.3,1.0,0.19,0.19,0.27,0.22,0.4,0.16,0.35,0.63,0.35,0.5,0.72,0.79,0.35,DST_183_F_SUR.csv
0.51,0.32,0.92,0.31,0.93,0.92,0.94,0.95,0.73,0.87,0.61,0.94,0.46,0.65,0.42,0.33,0.43,DST_017_F_DIS.csv
0.85,0.89,0.36,0.99,0.19,0.19,0.4,0.35,0.46,0.09,0.42,0.61,0.35,0.34,0.82,0.45,0.28,DST_004_F_SUR.csv
0.96,0.99,0.26,0.99,0.37,0.33,0.31,0.17,0.59,0.3,0.69,0.41,0.57,0.53,0.8,0.89,0.35,DST_071_M_SUR.csv
0.58,0.33,0.88,0.25,0.65,0.92,0.81,0.64,0.47,0.82,0.95,0.92,0.68,0.55,0.34,0.48,0.67,DST_024_F_SAD.csv
0.98,0.99,0.44,0.98,0.35,0.42,0.23,0.22,0.54,0.18,0.87,0.77,0.71,0.39,0.7,0.57,0.24,DST_079_M_FER.csv
0.79,0.46,0.87,0.48,0.79,0.92,0.66,0.54,0.63,0.26,0.86,0.91,0.64,0.58,0.36,0.21,0.45,DST_086_M_SAD.csv
0.37,0.56,0.35,0.58,0.88,0.81,0.74,0.73,0.93,0.86,0.49,0.75,0.86,0.83,0.58,0.4,0.32,DST_020_M_HPY.csv
0.47,0.28,0.54,0.24,0.93,0.95,0.8,0.77,0.93,0.97,0.59,0.75,0.5,0.62,0.46,0.4,0.61,DST_024_F_HPY.csv
0.74,0.24,0.96,0.6,0.69,0.96,0.54,0.47,0.53,0.61,0.87,0.95,0.88,0.56,0.25,0.5,0.51,DST_115_M_ANG.csv
0.79,0.81,0.58,0.72,0.86,0.62,0.31,0.78,0.97,0.89,0.36,0.81,0.56,0.64,0.69,0.35,0.62,DST_015_M_HPY.csv
0.93,0.94,0.6,0.99,0.4,0.15,0.34,0.72,0.73,0.49,0.59,0.71,0.48,0.48,0.91,0.77,0.24,DST_005_F_SUR.csv
0.84,0.95,0.3,0.99,0.28,0.56,0.5,0.34,0.46,0.07,0.5,0.52,0.21,0.54,0.87,0.76,0.29,DST_023_F_SUR.csv
0.6,0.43,0.66,0.17,0.72,0.61,0.75,0.87,0.53,0.47,0.68,0.99,0.71,0.81,0.25,0.53,0.5,DST_041_M_ANG.csv
0.82,0.95,0.29,1.0,0.2,0.45,0.32,0.31,0.39,0.1,0.39,0.67,0.08,0.43,0.82,0.75,0.27,DST_027_F_SUR.csv
0.62,0.65,0.33,0.49,0.67,0.47,0.44,0.51,0.87,0.56,0.22,0.67,0.27,0.58,0.5,0.19,0.49,DST_158_F_HPY.csv
0.68,0.62,0.67,0.53,0.75,0.94,0.91,0.53,0.33,0.3,0.57,0.84,0.24,0.56,0.35,0.57,0.4,DST_138_F_DIS.csv
0.87,0.52,0.89,0.57,0.75,0.41,0.59,0.67,0.67,0.94,0.63,0.92,0.66,0.6,0.35,0.37,0.35,DST_005_F_ANG.csv
0.92,0.98,0.38,0.98,0.28,0.42,0.36,0.33,0.56,0.26,0.58,0.62,0.27,0.44,0.65,0.82,0.37,DST_093_M_SUR.csv
0.56,0.38,0.64,0.48,0.78,0.61,0.54,0.63,0.8,0.9,0.64,0.93,0.66,0.74,0.17,0.54,0.14,DST_093_M_ANG.csv
0.47,0.25,0.95,0.44,0.74,0.82,0.7,0.77,0.48,0.7,0.84,0.92,0.78,0.48,0.77,0.73,0.36,DST_091_M_SAD.csv
0.35,0.19,0.51,0.39,0.93,0.82,0.49,0.83,0.97,0.91,0.45,0.81,0.66,0.6,0.63,0.23,0.35,DST_114_M_HPY.csv
0.35,0.3,0.3,0.51,0.89,0.92,0.54,0.85,0.92,0.85,0.56,0.65,0.88,0.64,0.47,0.09,0.49,DST_128_F_HPY.csv
0.42,0.37,0.8,0.53,0.74,0.8,0.73,0.6,0.64,0.54,0.78,0.96,0.83,0.77,0.37,0.44,0.28,DST_074_M_ANG.csv
0.84,0.93,0.17,0.89,0.63,0.52,0.63,0.93,0.74,0.87,0.85,0.91,0.82,0.5,0.65,0.48,0.3,DST_041_M_FER.csv
0.47,0.4,0.75,0.18,0.79,0.59,0.81,0.68,0.64,0.85,0.63,0.97,0.57,0.77,0.31,0.95,0.31,DST_077_M_ANG.csv
0.82,0.63,0.71,0.89,0.6,0.68,0.46,0.63,0.76,0.78,0.38,0.86,0.66,0.85,0.32,0.54,0.22,DST_065_F_ANG.csv
0.92,0.95,0.19,1.0,0.28,0.56,0.19,0.17,0.38,0.58,0.77,0.76,0.91,0.69,0.38,0.42,0.23,DST_146_F_FER.csv
0.32,0.3,0.89,0.23,0.94,0.99,0.97,0.91,0.71,0.43,0.64,0.95,0.44,0.64,0.51,0.42,0.4,DST_120_M_DIS.csv
0.47,0.4,0.9,0.29,0.94,0.98,0.91,0.9,0.66,0.62,0.57,0.94,0.39,0.8,0.48,0.67,0.46,DST_030_M_DIS.csv
0.57,0.42,0.26,0.41,0.86,0.83,0.68,0.76,0.94,0.9,0.49,0.65,0.74,0.62,0.47,0.55,0.53,DST_022_M_HPY.csv
0.67,0.52,0.31,0.47,0.27,0.43,0.38,0.3,0.54,0.65,0.5,0.68,0.58,0.54,0.39,0.53,0.45,DST_174_F_NUT.csv
0.65,0.53,0.47,0.3,0.97,0.74,0.6,0.9,0.98,0.93,0.63,0.79,0.75,0.72,0.64,0.38,0.48,DST_013_M_HPY.csv
0.92,0.99,0.42,0.95,0.48,0.45,0.48,0.74,0.65,0.41,0.6,0.58,0.44,0.65,0.9,0.86,0.49,DST_020_M_SUR.csv
0.89,0.69,0.89,0.59,0.53,0.54,0.31,0.53,0.51,0.63,0.87,0.76,0.75,0.57,0.5,0.44,0.72,DST_015_M_SAD.csv
0.58,0.4,0.37,0.46,0.59,0.87,0.92,0.44,0.37,0.49,0.52,0.73,0.22,0.6,0.45,0.45,0.51,DST_146_F_DIS.csv
0.59,0.28,0.29,0.46,0.94,0.95,0.5,0.81,0.91,0.95,0.81,0.87,0.9,0.75,0.4,0.25,0.48,DST_056_M_HPY.csv
0.66,0.57,0.86,0.65,0.32,0.66,0.39,0.24,0.57,0.83,0.54,0.81,0.39,0.79,0.24,0.65,0.45,DST_176_F_ANG.csv
0.54,0.21,0.93,0.35,0.95,0.97,0.94,0.96,0.83,0.83,0.64,0.77,0.52,0.62,0.66,0.3,0.41,DST_083_M_DIS.csv
0.48,0.51,0.93,0.27,0.81,0.96,0.89,0.66,0.57,0.31,0.69,0.92,0.47,0.66,0.46,0.48,0.52,DST_079_M_DIS.csv
0.86,0.91,0.36,0.99,0.22,0.15,0.31,0.5,0.45,0.2,0.62,0.67,0.26,0.51,0.78,0.7,0.17,DST_017_F_SUR.csv
0.8,0.36,0.89,0.68,0.66,0.86,0.67,0.75,0.46,0.47,0.93,0.89,0.84,0.48,0.31,0.33,0.3,DST_084_M_SAD.csv
0.88,0.99,0.13,0.99,0.33,0.09,0.28,0.49,0.72,0.06,0.46,0.58,0.56,0.5,0.88,0.9,0.39,DST_042_F_SUR.csv
0.38,0.38,0.47,0.6,0.75,0.98,0.95,0.69,0.48,0.21,0.63,0.48,0.37,0.49,0.67,0.29,0.41,DST_171_F_DIS.csv
0.75,0.8,0.31,0.98,0.56,0.62,0.21,0.54,0.74,0.82,0.81,0.9,0.94,0.74,0.51,0.51,0.24,DST_128_F_FER.csv
0.46,0.33,0.48,0.24,0.57,0.73,0.48,0.48,0.78,0.61,0.54,0.74,0.55,0.51,0.53,0.31,0.35,DST_090_M_NUT.csv
0.85,0.52,0.81,0.39,0.5,0.53,0.57,0.52,0.46,0.86,0.72,0.87,0.87,0.45,0.6,0.4,0.64,DST_167_F_SAD.csv
0.34,0.25,0.76,0.15,0.96,0.98,0.99,0.95,0.64,0.88,0.7,0.87,0.84,0.68,0.7,0.5,0.45,DST_106_M_DIS.csv
0.87,0.94,0.21,0.97,0.34,0.51,0.19,0.31,0.4,0.23,0.72,0.6,0.65,0.44,0.8,0.87,0.37,DST_133_F_SUR.csv
0.95,0.91,0.54,0.98,0.62,0.32,0.29,0.65,0.83,0.93,0.52,0.83,0.9,0.44,0.61,0.54,0.22,DST_005_F_FER.csv
0.57,0.28,0.53,0.19,0.96,0.96,0.91,0.92,0.9,0.9,0.5,0.78,0.35,0.68,0.45,0.49,0.39,DST_093_M_DIS.csv
0.56,0.73,0.33,0.76,0.93,0.87,0.76,0.84,0.94,0.84,0.48,0.84,0.74,0.72,0.68,0.74,0.37,DST_091_M_HPY.csv
0.95,0.99,0.31,0.98,0.57,0.45,0.5,0.34,0.63,0.2,0.57,0.81,0.79,0.64,0.63,0.48,0.19,DST_086_M_FER.csv
0.55,0.79,0.51,0.8,0.89,0.94,0.72,0.6,0.91,0.57,0.53,0.64,0.77,0.66,0.71,0.31,0.43,DST_089_M_HPY.csv
0.87,0.86,0.7,0.98,0.32,0.45,0.37,0.29,0.57,0.32,0.27,0.72,0.43,0.74,0.38,0.73,0.36,DST_036_F_ANG.csv
0.71,0.48,0.87,0.37,0.59,0.87,0.63,0.38,0.53,0.67,0.71,0.9,0.44,0.62,0.38,0.53,0.88,DST_176_F_SAD.csv
0.53,0.43,0.89,0.57,0.54,0.81,0.54,0.84,0.51,0.63,0.91,0.96,0.63,0.65,0.59,0.61,0.46,DST_009_F_SAD.csv
0.51,0.3,0.4,0.31,0.94,0.92,0.52,0.63,0.96,0.83,0.33,0.4,0.6,0.7,0.62,0.48,0.46,DST_093_M_HPY.csv
0.71,0.84,0.26,0.99,0.24,0.31,0.23,0.15,0.27,0.26,0.77,0.49,0.9,0.42,0.56,0.21,0.14,DST_145_F_FER.csv
0.94,0.98,0.29,0.99,0.43,0.52,0.19,0.16,0.49,0.42,0.77,0.65,0.96,0.56,0.61,0.42,0.43,DST_142_F_FER.csv
0.69,0.8,0.52,0.78,0.28,0.16,0.64,0.29,0.39,0.66,0.46,0.5,0.47,0.53,0.42,0.27,0.52,DST_159_F_NUT.csv
0.91,0.49,0.92,0.68,0.91,0.98,0.92,0.86,0.7,0.48,0.76,0.93,0.66,0.32,0.67,0.31,0.53,DST_002_F_DIS.csv
0.55,0.7,0.34,0.75,0.38,0.34,0.44,0.27,0.41,0.63,0.63,0.74,0.67,0.56,0.26,0.39,0.34,DST_183_F_NUT.csv
0.28,0.21,0.41,0.27,0.85,0.68,0.44,0.83,0.97,0.86,0.54,0.65,0.52,0.52,0.78,0.24,0.35,DST_090_M_HPY.csv
0.83,0.86,0.38,0.96,0.25,0.56,0.3,0.19,0.3,0.2,0.54,0.44,0.62,0.37,0.75,0.77,0.47,DST_136_F_SUR.csv
0.48,0.75,0.41,0.47,0.67,0.49,0.7,0.68,0.6,0.54,0.64,0.57,0.32,0.65,0.43,0.61,0.47,DST_043_M_NUT.csv
0.86,0.97,0.23,0.99,0.35,0.47,0.28,0.54,0.68,0.41,0.51,0.51,0.34,0.43,0.88,0.84,0.36,DST_009_F_SUR.csv
0.72,0.59,0.42,0.97,0.36,0.7,0.37,0.28,0.44,0.69,0.49,0.79,0.56,0.77,0.21,0.54,0.23,DST_146_F_ANG.csv
0.88,0.93,0.26,0.99,0.61,0.51,0.25,0.34,0.54,0.64,0.81,0.66,0.95,0.56,0.4,0.32,0.15,DST_051_M_FER.csv
0.95,0.99,0.2,0.98,0.41,0.35,0.29,0.34,0.42,0.52,0.58,0.78,0.8,0.53,0.72,0.4,0.21,DST_088_M_FER.csv
0.71,0.68,0.39,0.66,0.35,0.41,0.45,0.18,0.4,0.36,0.57,0.42,0.31,0.68,0.38,0.19,0.47,DST_123_F_NUT.csv
0.35,0.55,0.18,0.25,0.84,0.68,0.32,0.72,0.94,0.75,0.25,0.64,0.51,0.74,0.54,0.11,0.53,DST_124_F_HPY.csv
0.96,0.97,0.48,0.96,0.55,0.56,0.37,0.29,0.68,0.79,0.57,0.65,0.78,0.6,0.55,0.56,0.32,DST_083_M_FER.csv
0.66,0.62,0.64,0.7,0.62,0.15,0.48,0.49,0.62,0.55,0.75,0.71,0.74,0.52,0.65,0.61,0.38,DST_018_M_NUT.csv
0.72,0.57,0.94,0.69,0.63,0.29,0.6,0.65,0.67,0.71,0.82,0.91,0.65,0.53,0.28,0.29,0.41,DST_017_F_SAD.csv
0.92,0.99,0.35,0.99,0.36,0.46,0.29,0.17,0.36,0.63,0.67,0.89,0.89,0.63,0.36,0.55,0.18,DST_173_F_FER.csv
0.92,0.99,0.07,0.99,0.41,0.09,0.19,0.37,0.68,0.47,0.71,0.6,0.94,0.41,0.76,0.24,0.25,DST_042_F_FER.csv
0.61,0.34,0.52,0.29,0.97,0.83,0.58,0.95,0.96,0.85,0.54,0.92,0.7,0.64,0.51,0.23,0.34,DST_012_M_HPY.csv
0.68,0.57,0.87,0.37,0.74,0.82,0.59,0.58,0.49,0.6,0.84,0.86,0.91,0.6,0.7,0.66,0.57,DST_108_M_SAD.csv
0.41,0.34,0.77,0.29,0.87,0.96,0.97,0.69,0.41,0.41,0.67,0.92,0.47,0.81,0.37,0.18,0.6,DST_123_F_DIS.csv
0.77,0.76,0.34,0.47,0.44,0.16,0.46,0.49,0.71,0.68,0.54,0.44,0.54,0.41,0.56,0.31,0.51,Copy of DST_040_F_NUT.csv
0.6,0.33,0.78,0.65,0.77,0.66,0.67,0.82,0.63,0.44,0.91,0.75,0.95,0.45,0.77,0.43,0.2,DST_071_M_SAD.csv
0.5,0.57,0.3,0.46,0.48,0.71,0.47,0.23,0.44,0.23,0.67,0.5,0.39,0.6,0.48,0.23,0.54,DST_124_F_NUT.csv
0.3,0.36,0.69,0.87,0.36,0.63,0.38,0.29,0.31,0.39,0.78,0.93,0.48,0.74,0.14,0.12,0.23,DST_149_F_ANG.csv
0.79,0.56,0.76,0.44,0.86,0.98,0.93,0.77,0.68,0.69,0.4,0.62,0.33,0.57,0.71,0.54,0.51,DST_182_F_DIS.csv
0.91,0.97,0.35,0.98,0.41,0.4,0.22,0.43,0.67,0.24,0.53,0.46,0.18,0.54,0.91,0.91,0.38,DST_124_F_SUR.csv
0.5,0.17,0.75,0.2,0.98,0.97,0.91,0.95,0.94,0.8,0.74,0.93,0.71,0.57,0.88,0.4,0.51,DST_074_M_DIS.csv
0.5,0.43,0.55,0.59,0.37,0.4,0.61,0.55,0.43,0.7,0.61,0.63,0.5,0.51,0.61,0.49,0.48,DST_164_F_NUT.csv
0.87,0.75,0.85,0.69,0.76,0.57,0.38,0.83,0.71,0.73,0.75,0.95,0.73,0.59,0.9,0.81,0.59,DST_048_M_SAD.csv
0.5,0.2,0.95,0.35,0.61,0.77,0.6,0.35,0.37,0.66,0.74,0.75,0.72,0.59,0.44,0.62,0.51,DST_098_M_SAD.csv
0.25,0.48,0.39,0.39,0.87,0.82,0.95,0.86,0.83,0.49,0.63,0.8,0.36,0.64,0.62,0.31,0.22,DST_064_M_DIS.csv
0.51,0.48,0.37,0.54,0.37,0.63,0.52,0.28,0.48,0.34,0.43,0.56,0.45,0.49,0.34,0.48,0.29,DST_178_F_NUT.csv
0.38,0.19,0.83,0.36,0.69,0.84,0.66,0.5,0.55,0.53,0.91,0.97,0.78,0.65,0.25,0.49,0.3,DST_105_M_SAD.csv
0.88,0.78,0.5,0.53,0.55,0.78,0.43,0.63,0.69,0.69,0.59,0.87,0.7,0.56,0.58,0.63,0.66,DST_122_M_SAD.csv
0.62,0.65,0.91,0.68,0.85,0.93,0.96,0.83,0.47,0.47,0.66,0.96,0.71,0.73,0.26,0.28,0.17,DST_068_M_ANG.csv
0.79,0.4,0.95,0.59,0.91,0.99,0.93,0.89,0.71,0.37,0.51,0.8,0.34,0.59,0.78,0.48,0.52,DST_065_F_DIS.csv
0.86,0.94,0.33,0.97,0.46,0.46,0.37,0.66,0.63,0.85,0.53,0.8,0.8,0.53,0.31,0.28,0.21,DST_032_F_FER.csv
0.88,0.99,0.42,1.0,0.22,0.14,0.19,0.33,0.49,0.11,0.38,0.58,0.14,0.38,0.75,0.83,0.31,DST_036_F_SUR.csv
0.38,0.3,0.91,0.4,0.93,0.96,0.98,0.91,0.5,0.7,0.88,0.85,0.78,0.68,0.65,0.4,0.35,DST_108_M_DIS.csv
0.75,0.65,0.27,0.97,0.46,0.22,0.48,0.47,0.61,0.81,0.57,0.86,0.79,0.66,0.19,0.31,0.07,DST_017_F_ANG.csv
0.55,0.41,0.74,0.22,0.9,0.96,0.94,0.93,0.75,0.78,0.22,0.75,0.26,0.64,0.35,0.18,0.3,DST_032_F_DIS.csv
0.4,0.26,0.44,0.36,0.89,0.79,0.48,0.7,0.96,0.82,0.41,0.71,0.8,0.69,0.44,0.27,0.28,DST_081_M_HPY.csv
0.84,0.29,0.94,0.68,0.63,0.72,0.47,0.74,0.65,0.58,0.89,0.97,0.83,0.4,0.39,0.39,0.39,DST_002_F_SAD.csv
0.42,0.51,0.39,0.39,0.58,0.2,0.46,0.51,0.51,0.56,0.68,0.69,0.72,0.41,0.54,0.48,0.36,DST_026_M_NUT.csv
0.98,0.99,0.4,0.98,0.41,0.62,0.25,0.26,0.68,0.3,0.61,0.39,0.57,0.28,0.82,0.78,0.35,DST_115_M_SUR.csv
0.31,0.22,0.86,0.35,0.74,0.83,0.69,0.55,0.69,0.66,0.79,0.97,0.63,0.66,0.25,0.52,0.26,DST_105_M_ANG.csv
0.71,0.67,0.48,0.55,0.57,0.3,0.46,0.62,0.61,0.71,0.85,0.81,0.82,0.4,0.57,0.66,0.52,DST_040_F_SAD.csv
0.9,0.95,0.52,0.99,0.56,0.4,0.21,0.41,0.56,0.42,0.69,0.68,0.91,0.46,0.75,0.31,0.2,DST_047_M_FER.csv
0.89,0.97,0.36,1.0,0.2,0.49,0.23,0.25,0.29,0.13,0.56,0.71,0.54,0.35,0.69,0.76,0.28,DST_146_F_SUR.csv
0.47,0.28,0.79,0.51,0.62,0.94,0.69,0.37,0.56,0.67,0.45,0.9,0.46,0.67,0.18,0.57,0.24,DST_178_F_ANG.csv
0.88,0.38,0.89,0.61,0.53,0.49,0.58,0.64,0.57,0.83,0.82,0.83,0.91,0.45,0.55,0.69,0.58,DST_004_F_SAD.csv
